n,question,answer_from_results,supporting_metric
500,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9374, Conventional=0.8724, diff=0.0650"
500,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9468, continuous=0.9374, gap=0.0094"
500,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 9.481; coarsest delta=0.12: 1.053
500,Does RBC coverage decline when local support score is low?,RBC coverage is lower in low-support bins.,"low-support coverage=0.8764, high-support coverage=0.9375, low-support display-ok=0.0000"
500,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.12, coverage=0.0000, display-ok=0.0000, support=1.053"
500,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.12, display-ok=0.0000, pathological-length=0.1706, support=1.053"
750,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9302, Conventional=0.8600, diff=0.0702"
750,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9374, continuous=0.9302, gap=0.0072"
750,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 9.126; coarsest delta=0.05: 2.004
750,Does RBC coverage decline when local support score is low?,"RBC coverage does not fall sharply, but low-support bins fail the display/usability diagnostic.","low-support coverage=0.9275, high-support coverage=0.9331, low-support display-ok=0.0000"
750,Are low-coverage scenarios also low-usability scenarios?,The weakest RBC coverage cell also has poor frontier usability/local support.,"worst fixed delta=0.04, coverage=0.9240, display-ok=0.0000, support=2.276"
750,Is the discrete failure primarily an inference problem or a local support problem?,"The evidence points to a local-support estimation/identification boundary, not only an inference problem.","coarsest fixed delta=0.05, display-ok=0.0000, pathological-length=0.0004, support=2.004"
1000,Does RBC improve coverage relative to conventional inference in the continuous baseline?,RBC improves coverage relative to conventional inference in the continuous baseline.,"RBC=0.9266, Conventional=0.8602, diff=0.0664"
1000,Does fine discretization preserve RBC coverage relative to the continuous baseline?,Fine discretization preserves RBC coverage close to the continuous baseline.,"RBC fine delta=0.01=0.9268, continuous=0.9266, gap=0.0002"
1000,Does coarse discretization reduce local support points?,Coarser discretization reduces distinct local support points.,finest delta=0.01: 8.649; coarsest delta=0.05: 1.999
